rarity,prefix,prefix_variation,suffix,suffix_variation
rare,Absent,,Absence,Absences
rare,Absolving,Absolved,Absolution,Absolving
rare,Absorbing,Absorbed,Absorption,Absorbing
rare,Abstracting,Abstracted,Abstraction,Abstracting
rare,Abundant,Abundance,Abundance,Abounding
rare,Accurate,Accuracy,Accuracy,
rare,Adapting,Adapted,Adaptation,Adapting
rare,Addictive,Addicted,Addicting,Addiction
rare,Adorned,Adorning,Adorning,
rare,Adultered,Adulterers,Adulteration,Adulterers
rare,Agile,,Agility,
rare,Aged,Old,Aging,
rare,Agonizing,Agonized,Agony,Agonizing
rare,Air,Aired,Air,Airs
rare,Alliance,Allied,Alliance,Alliances
rare,Altruistic,,Altruism,
rare,Amphibious,Amphibian,Amphibians,
rare,Ancestral,Ancestor,Ancestry,Ancestors
rare,Anchoring,Anchored,Anchoring,Anchors
rare,Ancient,,Ancients,
rare,Atiquated,,Antiquity,
rare,Annihilation,Annihilated,Annihilation,Annihilations
rare,Annoying,Annoyed,Annoyance,Annoying
rare,Anxious,Anxiety,Anxiety,Anxiousness
rare,Armageddon,,Armageddon,Armageddons
rare,Artistic,Art,Art,Artistry
rare,Ashen,Ash,Ash,
rare,Aspiring,,Aspiration,Aspiring
rare,Assasination,Assasin,Assassination,Assassins
rare,Atheist,Atheists,Atheism,Atheists
rare,Attack,,Attack,Attacks
rare,Authentic,,Authenticity,
rare,Bandit,Bandits,Banditry,Bandits
rare,Barbarous,Barbarian,Barbarity,Barbarians
rare,Bards,Bard,Bards,Barding
rare,Bare,Baren,Baren,Baring
rare,Bathing,Bath,Bathing,Baths
rare,Bestial,Beast,Beasts,
rare,Beautiful,,Beauty,Beauties
rare,Beckoning,Beckoned,Beckoning,Beautification
rare,Bejeweled,Jewel,Jewelry,Jewels
rare,Bent,,Bending,Bends
rare,Betrayed,Betraying,Betrayal,Betraying
rare,Binding,Bound,Binding,Bindings
rare,Bitter,,Bitterness,
rare,Blazing,Blaze,Blazes,Blezing
rare,Bleak,,Bleakness,
rare,Blending,Blended,Blending,Blends
rare,Blessed,Blessing,Blessings,Blessing
rare,Blind,,Blinding,
rare,Blocking,Blocked,Blocking,Blocks
rare,Blood,Bloody,Blood,Bloods
rare,Blossom,Blossoming,Blossoming,Blossoms
rare,Boiling,Boiled,Boiling,Boils
rare,Bondage,Bonded,Bonds,Bondage
rare,Bone,,Bones,
rare,Boring,Bored,Boredom,
rare,Borrowed,,Borrowing,
rare,Bounty,,Bounties,
rare,Bouyant,,Bouyancy,
rare,Bovine,,Bovines,
rare,Porcine,,Swine,Porcines
rare,Branded,,Branding,Brands
rare,Brass,,Brass,
rare,Brazen,,,
rare,Bold,,Boldness,
rare,Broken,,Breaking,
rare,Breath,Breathing,Breaths,Breathing
rare,Brief,,Brevity,
rare,Bridge,Bridging,Bridges,Bridging
rare,Brine,,Brine,Brines
rare,Brittle,,,
rare,Crumbling,,Crumbling,Crumbles
rare,Broad,,,
rare,Expansive,Expanse,Expanses,Expanding
rare,Brothers,,Brotherhood,Brothers
rare,Burdensome,Burdened,Burdens,Burdening
rare,Burglars,Burglar,Burglary,Burglars
rare,Burrowing,Burrowed,Burrowing,Burrows
rare,Bursted,Bursting,Bursting,Bursts
rare,Butcher,Butchering,Butchering,Butchers
rare,calamitous,Calamity,Calamity,Calamities
rare,Calculated,,Calculation,Calculations
rare,Calm,Calmed,Calm,Calming
rare,Camping,Camp,Camps,Camping
rare,Campfire,,Campfires,
rare,Canine,,Canines,
rare,Cannibalistic,Cannibal,Cannibalism,Cannibals
rare,Careless,,Carelessness,
rare,Carnivorous,Carnivore,Carnivores,
rare,Cartographers,Cartographer,Cartography,Cartographers
rare,Carved,Carving,Carving,Carvings
rare,Catasrophic,Catastrophy,Catastrophe,Catastrophies
rare,Cautious,,Caution,Cautions
rare,Centaur,Centaurs,Centaurs,the Centair
rare,Chakra,,Chakras,
rare,Chance,,Chance,Chances
rare,Change,Changed,Change,Changes
rare,Chaos,Chaotic,Chaos,
rare,Charismatic,,Charisma,
rare,Charity,,Charity,
rare,Charlatan,Charlatans,Charlatans,the Charlatan
rare,Charm,Charming,Charms,Charming
rare,Cheating,,Cheating,Cheats
rare,Cheerful,Cheery,Cheer,Cheering
rare,Chipped,Chipping,Chipping,Chips
rare,Chivalrous,,Chivalry,
rare,Chore,,Chores,
rare,Churning,Churned,Churn,Churning
rare,Singed,,Cinders,Singeing
rare,Clamorous,,Clamor,Clamors
rare,Clan,,Clans,
rare,Claw,,Claws,
rare,Clean,Cleaned,Cleaning,
rare,Cleansed,,Cleansing,Cleanses
rare,Cleaved,,Cleaving,
rare,Climbing,,Climbing,Climbs
rare,Cloning,Clone,Cloning,Clones
rare,Clue,,Clues,
rare,Cohesive,,Cohesion,
rare,Cold,,Cold,Colds
rare,Collection,Collections,Collection,Collections
rare,Comedic,Comedy,Comedy,Comedies
rare,Comet,,the Comet,Comets
rare,Comfort,Comforting,Comfort,Comforting
rare,Command,,Command,Commanding
rare,Commencement,Commencing,Commencement,Commencing
rare,Communication,Communications,Communication,Communications
rare,Compact,Compacted,Compacting,
rare,Complaining,Complaint,Complaint,Complaints
rare,Complicated,Complex,Complication,Complications
rare,Compression,Compressed,Compression,Compression
rare,Compulsion,,Compulsion,Compulsions
rare,Comrade,Comrades,Comraderie,Comrades
rare,Conceited,Conceit,Conceit,Conceits
rare,Concentration,Concentrated,Concentration,Concentrations
rare,Confidence,Confident,Confidence,
rare,Confidant,Confidants,Confidants,Confiding
rare,Connection,Connected,Connection,Connecting
rare,Conquering,Conquest,Conquering,Conquest
rare,Constitution,Constituted,Constitution,Constitutions
rare,Construction,Constructed,Construction,Constructions
rare,Contagion,Contagious,Contagion,
rare,Containment,Contained,Containment,Containing
rare,Contradiction,Contradicted,Contradiction,Contradicting
rare,Convenience,Convenient,,
rare,Conversion,,Conversion,
rare,Costly,,Costly,
rare,Courage,,Courage,
rare,Crafting,,Crafting,
rare,Creatures,,Creatures,
rare,Creeping,,Creeping,
rare,Crime,,Crime,
rare,Crossing,,Crossing,
rare,Crowding,,Crowding,
rare,Cruelty,,Cruelty,
rare,Crusty,,Crusty,
rare,Crystals,,Crystals,
rare,Cumbersome,,Cumbersome,
rare,Cunning,,Cunning,
rare,Cursed,,Cursed,
rare,Cursing,,Cursing,
rare,Curved,,Curved,
rare,Damning,,Damning,
rare,Dark,,Dark,
rare,Death,,Death,
rare,Deception,,Deception,
rare,Decomposition,,Decomposition,
rare,Defence,,Defence,
rare,Defiance,,Defiance,
rare,Delay,,Delay,
rare,Delicate,,Delicate,
rare,Democratic,,Democratic,
rare,Demolition,,Demolition,
rare,Dented,,Dented,
rare,Depression,,Depression,
rare,Derangement,,Derangement,
rare,Desert,,Desert,
rare,Desire,,Desire,
rare,Desired,,Desired,
rare,Despair,,Despair,
rare,Desperation,,Desperation,
rare,Details,,Details,
rare,Deterioration,,Deterioration,
rare,Devils,,Devils,
rare,Diligence,,Diligence,
rare,Diminishing,,Diminishing,
rare,Direction,,Direction,
rare,Directions,,Directions,
rare,Discernment,,Discernment,
rare,Discresion,,Discresion,
rare,Disease,,Disease,
rare,Disection,,Disection,
rare,Disposal,,Disposal,
rare,Disruption,,Disruption,
rare,Dissent,,Dissent,
rare,Distraction,,Distraction,
rare,Divergence,,Divergence,
rare,Dividing,,Dividing,
rare,Divorce,,Divorce,
rare,Dligience,,Dligience,
rare,Dominance,,Dominance,
rare,Doppelganger,,Doppelganger,
rare,Doubt,,Doubt,
rare,Dragon,,Dragon,
rare,Draining,,Draining,
rare,Dreams,,Dreams,
rare,Dreary,,Dreary,
rare,Drunkards,,Drunkards,
rare,Dryness,,Dryness,
rare,Dueling,,Dueling,
rare,Dull,,Dull,
rare,Durable,,Durable,
rare,Dwarven,,Dwarven,
rare,Ears,,Ears,
rare,Earth,,Earth,
rare,Echos,,Echos,
rare,Education,,Education,
rare,Electric,,Electric,
rare,Elemental,,Elemental,
rare,Elevation,,Elevation,
rare,Elfish,,Elfish,
rare,Elusive,,Elusive,
rare,Emotions,,Emotions,
rare,Empowerment,,Empowerment,
rare,Enchanting,,Enchanting,
rare,Enclosure,,Enclosure,
rare,Endurance,,Endurance,
rare,Enhancement,,Enhancement,
rare,Enlightening,,Enlightening,
rare,Entanglement,,Entanglement,
rare,Entertainment,,Entertainment,
rare,Entrancing,,Entrancing,
rare,Erasure,,Erasure,
rare,Erosion,,Erosion,
rare,Escape,,Escape,
rare,Etching,,Etching,
rare,Ethereal,,Ethereal,
rare,Evaporation,,Evaporation,
rare,Exercise,,Exercise,
rare,Exhaustion,,Exhaustion,
rare,Exotic,,Exotic,
rare,Expanse,,Expanse,
rare,Expansive,,Expansive,
rare,Explosion,,Explosion,
rare,Expulsion,,Expulsion,
rare,Extraction,,Extraction,
rare,Eyes,,Eyes,
rare,Failure,,Failure,
rare,Faith,,Faith,
rare,Fake,,Fake,
rare,Faking,,Faking,
rare,Falling,,Falling,
rare,Fame,,Fame,
rare,Fangs,,Fangs,
rare,Fatality,,Fatality,
rare,Fateful,,Fateful,
rare,Fear,,Fear,
rare,Feasting,,Feasting,
rare,Feet,,Feet,
rare,Fertility,,Fertility,
rare,Festivities,,Festivities,
rare,Fickleness,,Fickleness,
rare,Fighters,,Fighters,
rare,Finding,,Finding,
rare,Fine,,Fine,
rare,Finicky,,Finicky,
rare,Fire,,Fire,
rare,Flaming,,Flaming,
rare,Flawed,,Flawed,
rare,Flaying,,Flaying,
rare,Fleeting,,Fleeting,
rare,Flicker,,Flicker,
rare,Flight,,Flight,
rare,Floating,,Floating,
rare,Flood,,Flood,
rare,Flowers,,Flowers,
rare,Fog,,,
rare,Force,,Force,
rare,Foresight,,Foresight,
rare,Forgery,,Forgery,
rare,Forgotten,,Forgotten,
rare,Fortification,,Fortification,
rare,Fortune,,Fortune,
rare,Found,,Found,
rare,Fragile,,Fragile,
rare,Framing,,Framing,
rare,Frankenstein,,Frankenstein,
rare,Frankness,,Frankness,
rare,Fraternity,,Fraternity,
rare,Frayed,,Frayed,
rare,Frivolity,,Frivolity,
rare,Frown,,Frown,
rare,Frustration,,Frustration,
rare,Fullness,,Fullness,
rare,Fungal,,Fungal,
rare,Gaining,,Gaining,
rare,Games,,Games,
rare,Gardens,,Gardens,
rare,Gas,,,
rare,Gathering,,Gathering,
rare,Ghostly,,Ghostly,
rare,Gladiator,,Gladiator,
rare,Glinting,,Glinting,
rare,Glitter,,Glitter,
rare,Glory,,Glory,
rare,Glowing,,Glowing,
rare,Gluttony,,Gluttony,
rare,Goblin,,Goblin,
rare,Gods,,Gods,
rare,Gold,,Gold,
rare,Grandeur,,Grandeur,
rare,Grappling,,Grappling,
rare,Greed,,Greed,
rare,Grim,,Grim,
rare,Grimy,,Grimy,
rare,Grins,,Grins,
rare,Gripes,,Gripes,
rare,Growth,,Growth,
rare,Guidance,,Guidance,
rare,Guided,,Guided,
rare,Guile,,Guile,
rare,Guilt,,Guilt,
rare,Hafling,,Hafling,
rare,Haggling,,Haggling,
rare,Hallucination,,Hallucination,
rare,Hands,,Hands,
rare,Harrowing,,Harrowing,
rare,Headache,,Headache,
rare,Healing,,Healing,
rare,Heartache,,Heartache,
rare,Heat,,Heat,
rare,Heaven,,Heaven,
rare,Hell,,Hell,
rare,Hiding,,Hiding,
rare,Hilarity,,Hilarity,
rare,History,,History,
rare,Holiday,,Holiday,
rare,Hollowness,,Hollowness,
rare,Homing,,Homing,
rare,Honesty,,Honesty,
rare,Hope,,Hope,
rare,Horror,,Horror,
rare,Humidity,,Humidity,
rare,Humility,,Humility,
rare,Hunger,,Hunger,
rare,Ice,,,
rare,Icicles,,Icicles,
rare,Ignition,,Ignition,
rare,Illumination,,Illumination,
rare,Illusion,,Illusion,
rare,Immolation,,Immolation,
rare,Impediment,,Impediment,
rare,Imperial,,Imperial,
rare,Impossibility,,Impossibility,
rare,Imposter,,Imposter,
rare,Industry,,Industry,
rare,Inebriation,,Inebriation,
rare,Infection,,Infection,
rare,Infinite,,Infinite,
rare,Innocence,,Innocence,
rare,Insipious,,Insipious,
rare,Inspection,,Inspection,
rare,Integrity,,Integrity,
rare,Intelligence,,Intelligence,
rare,Interesting,,Interesting,
rare,Intoxicating,,Intoxicating,
rare,Intoxication,,Intoxication,
rare,Intricate,,Intricate,
rare,Intrusion,,Intrusion,
rare,Invasive,,Invasive,
rare,Investigation,,Investigation,
rare,Invokers,,Invokers,
rare,Isolation,,Isolation,
rare,Jabbing,,Jabbing,
rare,Jagged,,Jagged,
rare,Jailing,,Jailing,
rare,Joining,,Joining,
rare,Judgement,,Judgement,
rare,Juggling,,Juggling,
rare,Justice,,Justice,
rare,Kickback,,Kickback,
rare,Kindness,,Kindness,
rare,King,,King,
rare,Knobby,,Knobby,
rare,Large,,Large,
rare,Lava,,Lava,
rare,Lavishness,,Lavishness,
rare,Laziness,,Laziness,
rare,Leadership,,Leadership,
rare,Learning,,Learning,
rare,Leeching,,Leeching,
rare,Legion,,Legion,
rare,Leverage,,Leverage,
rare,Liberation,,Liberation,
rare,Lies,,Lies,
rare,Life,,Life,
rare,Light,,Light,
rare,Limited Charges,,,
rare,Literature,,Literature,
rare,Living,,Living,
rare,Logic,,Logic,
rare,Longing,,Longing,
rare,Lore,,Lore,
rare,Losing,,Losing,
rare,Lost,,Lost,
rare,Lucidity,,Lucidity,
rare,Luck,,Luck,
rare,Luminous,,Luminous,
rare,Madness,,Madness,
rare,Magicians,,Magicians,
rare,Malice,,Malice,
rare,Mapping,,Mapping,
rare,Masking,,Masking,
rare,Massacre,,Massacre,
rare,Masterful,,Masterful,
rare,Mastery,,Mastery,
rare,Maternity,,Maternity,
rare,Mathematics,,Mathematics,
rare,Matrimony,,Matrimony,
rare,Medication,,Medication,
rare,Melting,,Melting,
rare,Memorable,,Memorable,
rare,Memory,,Memory,
rare,Mending,,Mending,
rare,Mercy,,Mercy,
rare,Metallic,,Metallic,
rare,Mirage,,Mirage,
rare,Mire,,Mire,
rare,Misdirection,,Misdirection,
rare,Misfortune,,Misfortune,
rare,Misguidance,,Misguidance,
rare,Mist,,Mist,
rare,Misty,,Misty,
rare,Moderation,,Moderation,
rare,Moldable,,Moldable,
rare,Monarchal,,Monarchal,
rare,Monitoring,,Monitoring,
rare,Monster,,Monster,
rare,Moonlight,,Moonlight,
rare,Morbidity,,Morbidity,
rare,Morphing,,Morphing,
rare,Moss,,Moss,
rare,Movement,,Movement,
rare,Mud,,,
rare,Murder,,Murder,
rare,Murkiness,,Murkiness,
rare,Musical,,Musical,
rare,Mutation,,Mutation,
rare,Mutilation,,Mutilation,
rare,Mutiny,,Mutiny,
rare,Mutual DMutualestruction,,,
rare,Mystery,,Mystery,
rare,Names,,Names,
rare,Narration,,Narration,
rare,Narrow,,Narrow,
rare,Natural,,Natural,
rare,Naturalists,,Naturalists,
rare,Nature,,Nature,
rare,Nausea,,Nausea,
rare,Necromantic,,Necromantic,
rare,Neutrality,,Neutrality,
rare,New,,,
rare,Nightmares,,Nightmares,
rare,Nimble,,Nimble,
rare,Nobility,,Nobility,
rare,Nocturnal,,Nocturnal,
rare,Nudging,,Nudging,
rare,Nutrition,,Nutrition,
rare,Obedience,,Obedience,
rare,Obscuring,,Obscuring,
rare,Oily,,Oily,
rare,Omnivorious,,Omnivorious,
rare,One UOnese,,,
rare,Overflow,,Overflow,
rare,Overgrown,,Overgrown,
rare,Overload,,Overload,
rare,Pacifism,,Pacifism,
rare,Padding,,Padding,
rare,Paint,,Paint,
rare,Paired,,Paired,
rare,Pandemonium,,Pandemonium,
rare,Paradox,,Paradox,
rare,Passion,,Passion,
rare,Paternity,,Paternity,
rare,Patterns,,Patterns,
rare,Peace,,Peace,
rare,Performance,,Performance,
rare,Permanence,,Permanence,
rare,Persistence,,Persistence,
rare,Persuasion,,Persuasion,
rare,Playfulness,,Playfulness,
rare,Poetic,,Poetic,
rare,Pointed,,Pointed,
rare,Poison,,Poison,
rare,Polarizing,,Polarizing,
rare,Portals,,Portals,
rare,Portrayal,,Portrayal,
rare,Poverty,,Poverty,
rare,Prank,,Prank,
rare,Preparation,,Preparation,
rare,Presence,,Presence,
rare,Preservation,,Preservation,
rare,Prince,,Prince,
rare,Princess,,Princess,
rare,Prismatic,,Prismatic,
rare,Privilege,,Privilege,
rare,Procrastination,,Procrastination,
rare,Progress,,Progress,
rare,Propellant,,Propellant,
rare,Prophecy,,Prophecy,
rare,Pulverizing,,Pulverizing,
rare,Puppeteering,,Puppeteering,
rare,Pure,,Pure,
rare,Puree,,Puree,
rare,Putrid,,Putrid,
rare,Quality,,Quality,
rare,Quantum,,Quantum,
rare,Queasiness,,Queasiness,
rare,Queen,,Queen,
rare,Quenching,,Quenching,
rare,Questing,,Questing,
rare,Quick,,Quick,
rare,Quiet,,Quiet,
rare,Race,,Race,
rare,Radiance,,Radiance,
rare,Radiant,,Radiant,
rare,Radiation,,Radiation,
rare,Rage,,Rage,
rare,Raiment,,Raiment,
rare,Rallying,,Rallying,
rare,Randomization,,Randomization,
rare,Rare,,Rare,
rare,Rays,,Rays,
rare,Reaching,,Reaching,
rare,Readiness,,Readiness,
rare,Reaper,,Reaper,
rare,Rearguard,,Rearguard,
rare,Reason,,Reason,
rare,Rebellion,,Rebellion,
rare,Recharge,,Recharge,
rare,Reciprocity,,Reciprocity,
rare,Recklessness,,Recklessness,
rare,Reckoning,,Reckoning,
rare,Reclamation,,Reclamation,
rare,Reconciliation,,Reconciliation,
rare,Recording,,Recording,
rare,Recovery,,Recovery,
rare,Recruiting,,Recruiting,
rare,Rediction,,Rediction,
rare,Redo,,Redo,
rare,Redoing,,Redoing,
rare,Refill,,Refill,
rare,Reflection,,Reflection,
rare,Refrigeration,,Refrigeration,
rare,Regal,,Regal,
rare,Rehabilitation,,Rehabilitation,
rare,Reinforcing,,Reinforcing,
rare,Rejuvination,,Rejuvination,
rare,Relaxation,,Relaxation,
rare,Relief,,Relief,
rare,Religion,,Religion,
rare,Remembrance,,Remembrance,
rare,Remorse,,Remorse,
rare,Rending,,Rending,
rare,Repair,,Repair,
rare,Repentance,,Repentance,
rare,Replay,,Replay,
rare,Republic,,Republic,
rare,Resolve,,Resolve,
rare,Restitution,,Restitution,
rare,Restoration,,Restoration,
rare,Retraction,,Retraction,
rare,Retreat,,Retreat,
rare,Returning,,Returning,
rare,Revealing,,,
rare,Revelation,,Revelation,
rare,Revenge,,Revenge,
rare,Revision,,Revision,
rare,Reviving,,Reviving,
rare,Revolution,,Revolution,
rare,Risk,,Risk,
rare,Robustness,,Robustness,
rare,Romance,,Romance,
rare,Rough,,Rough,
rare,Rounded,,Rounded,
rare,Royal,,Royal,
rare,Royalty,,Royalty,
rare,Ruin,,Ruin,
rare,Rusty,,Rusty,
rare,Sabotage,,Sabotage,
rare,Sacrificial,,Sacrificial,
rare,Salvation,,Salvation,
rare,Savage,,Savage,
rare,Savant,,Savant,
rare,Scarcity,,Scarcity,
rare,Scars,,Scars,
rare,Scents,,Scents,
rare,Scrying,,Scrying,
rare,Sealed,,Sealed,
rare,Searing,,Searing,
rare,Secrecy,,Secrecy,Secrets
rare,Self Destruction,,,
rare,Selfishness,,Selfishness,
rare,Serenity,,Serenity,
rare,Serpent,,Serpent,
rare,Serpentine,,Serpentine,
rare,Service,,Service,
rare,Shade,,Shade,
rare,Shadow,,Shadow,
rare,Shame,,Shame,
rare,Sharp,,Sharp,
rare,Shattered,,Shattered,
rare,Shelter,,Shelter,
rare,Shield,,Shield,
rare,Shimmering,,Shimmering,
rare,Shocking,,Shocking,
rare,Short,,Short,
rare,Shrieks,,Shrieks,
rare,Shrinking,,Shrinking,
rare,Sickness,,Sickness,
rare,Sight,,Sight,
rare,Silence,,Silence,
rare,Silvery,,Silvery,
rare,Sisterhood,,Sisterhood,
rare,Sleek,,Sleek,
rare,Sleep,,Sleep,
rare,Slime,,Slime,
rare,Slimy,,Slimy,
rare,Sloth,,Sloth,
rare,Small,,Small,
rare,Smashing,,Smashing,
rare,Smoke,,Smoke,
rare,Smoking,,Smoking,
rare,Sneaking,,Sneaking,
rare,Soaring,,Soaring,
rare,Soberness,,Soberness,
rare,Solidarity,,Solidarity,
rare,Solidification,,Solidification,
rare,Song,,Song,
rare,Sorrow,,Sorrow,
rare,Space,,Space,
rare,Spanning,,Spanning,
rare,Sparing,,Sparing,
rare,Sparkles,,Sparkles,
rare,Speed,,Speed,
rare,Spiders,,Spiders,
rare,Spirit,,Spirit,
rare,Spreading,,Spreading,
rare,Squeazing,,Squeazing,
rare,Stalling,,Stalling,
rare,Stamina,,Stamina,
rare,Stasis,,Stasis,
rare,Stealth,,Stealth,
rare,Stifling,,Stifling,
rare,Storage,,Storage,
rare,Storms,,Storms,
rare,Strength,,Strength,
rare,Stress,,Stress,
rare,Stunning,,Stunning,
rare,Sublimation,,Sublimation,
rare,Submersion,,Submersion,
rare,Subservience,,Subservience,
rare,Subtle,,Subtle,
rare,Success,,Success,
rare,Suffocation,,Suffocation,
rare,Summoning,,Summoning,
rare,Sundering,,Sundering,
rare,Sunlight,,Sunlight,
rare,Surgery,,Surgery,
rare,Surprise,,Surprise,
rare,Survival,,Survival,
rare,Suspicion,,Suspicion,
rare,Sustenance,,Sustenance,
rare,Swamps,,Swamps,
rare,Sweetness,,Sweetness,
rare,Swimming,,Swimming,
rare,Synchronization,,Synchronization,
rare,Tall,,Tall,
rare,Taming,,Taming,
rare,Targeted,,Targeted,
rare,Tarnished,,Tarnished,
rare,Tears,,Tears,
rare,Tedium,,Tedium,
rare,Teleportation,,Teleportation,
rare,Temptation,,Temptation,
rare,Tending,,Tending,
rare,Testing,,Testing,
rare,Thirst,,Thirst,
rare,Thrift,,Thrift,
rare,Timing,,Timing,
rare,Torture,,Torture,
rare,Toxic,,Toxic,
rare,Toying,,Toying,
rare,Tragedy,,Tragedy,
rare,Tranquillity,,Tranquillity,
rare,Transfiguration,,Transfiguration,
rare,Transmutation,,Transmutation,
rare,Transportation,,Transportation,
rare,Trapping,,Trapping,
rare,Travel,,Travel,
rare,Treason,,Treason,
rare,Tremors,,Tremors,
rare,Trials,,Trials,
rare,Trickery,,Trickery,
rare,Triumph,,Triumph,
rare,Trust,,Trust,
rare,Truth,,Truth,
rare,Tunneling,,Tunneling,
rare,Twins,,Twins,
rare,Twisted,,Twisted,
rare,Tying,,Tying,
rare,Understanding,,Understanding,
rare,Undoing,,Undoing,
rare,Unexpected,,Unexpected,
rare,Vagabond,,Vagabond,
rare,Vagabonds,,Vagabonds,
rare,Validation,,Validation,
rare,Valuable,,Valuable,
rare,Vampiric,,Vampiric,
rare,Vanguard,,Vanguard,
rare,Vanity,,Vanity,
rare,Vapor,,Vapor,
rare,Veils,,Veils,
rare,Veracity,,Veracity,
rare,Vestiture,,Vestiture,
rare,Victimization,,Victimization,
rare,Vile,,Vile,
rare,Vines,,Vines,
rare,Violence,,Violence,
rare,Vision,,Vision,
rare,Vitality,,Vitality,
rare,Voyage,,Voyage,
rare,Wading,,Wading,
rare,Wails,,Wails,
rare,Wakening,,Wakening,
rare,Wandering,,Wandering,
rare,Warmth,,Warmth,
rare,Warped,,Warped,
rare,Waste,,Waste,
rare,Water,,Water,
rare,Weather,,Weather,
rare,Weeds,,Weeds,
rare,Weighty,,Weighty,
rare,Welding,,Welding,
rare,Wellness,,Wellness,
rare,Werebeast,,Werebeast,
rare,Werewolf,,Werewolf,
rare,Whimsy,,Whimsy,
rare,Wide,,Wide,
rare,Wild,,Wild,
rare,Wilderness,,Wilderness,
rare,Wind,,Wind,
rare,Wisdom,,Wisdom,
rare,undefined,,undefined,
rare,Wishes,,Wishes,
rare,Withering,,Withering,
rare,Wizards,,Wizards,
rare,Worship,,Worship,
rare,Wrestling,,Wrestling,
rare,Xenophobia,,Xenophobia,
rare,Youth,,Youth,
rare,Adoring,,Adoring,